Feature,Algorithm,Feature Importance Score
SDS-SDS_Total_Raw,LGBM,0.276
FGC-FGC_CU,LGBM,0.154
Physical-HeartRate,LGBM,0.134
Physical-Systolic_BP,LGBM,0.128
CGAS-CGAS_Score,LGBM,0.126
Physical-Height,LGBM,0.124
SDS-SDS_Total_T,LGBM,0.124
Basic_Demos-Sex,LGBM,0.116
FGC-FGC_PU,LGBM,0.114
Internet_Hours_Age,LGBM,0.114
Basic_Demos-Age,XGBoost,0.08689465
Internet_Hours_Age,XGBoost,0.07085953
PreInt_EduHx-computerinternet_hoursday,XGBoost,0.02740989
Physical-Height,XGBoost,0.026055101
SDS-SDS_Total_Raw,XGBoost,0.023139087
SDS-SDS_Total_T,XGBoost,0.015255946
PAQ_A-Season_Summer,XGBoost,0.011857102
Basic_Demos-Sex,XGBoost,0.011397752
BMI_Internet_Hours,XGBoost,0.009844439
BMI_Age,XGBoost,0.009817033
Internet_Hours_Age,Random Forest,0.205068025
Basic_Demos-Age,Random Forest,0.190136347
SDS-SDS_Total_Raw,Random Forest,0.071671808
SDS-SDS_Total_T,Random Forest,0.07079345
Physical-Height,Random Forest,0.038256566
BMI_Age,Random Forest,0.028372355
Physical-Weight,Random Forest,0.024602325
BMI_Internet_Hours,Random Forest,0.023471189
Physical-Systolic_BP,Random Forest,0.016397638
Physical-HeartRate,Random Forest,0.014674705
